TipoVehiculo:Matricula:Marca:Modelo:Color:Precio:Bastidor:Disponible
1 - :98237707088576:9389KRT:Audi:m3:Amarillo:60.0:true:1029
1 - :67267329303683:2661ÑRW:Audi:mondeo:Rojo:50.0:true:1944
1 - :646172475466770:8952QGJ:Ford:sqv:Verde:60.0:true:4004
1 - :980437987414896:9686CCP:LandRover:mondeo:Rojo:90.0:true:1788
1 - :295646211757874:3393VMV:Opel:m3:negro:800.0:true:1744
1 - :646638768421246:4619ZBV:Opel:amg gtr:Rojo:300.0:true:1618
1 - :545774898273937:8690NMT:Seat:sqv:rojo:60.0:true:3971
1 - :949277007468203:5252VCX:Seat:sqv:negro:800.0:true:4994
1 - :890748846653399:2948YVL:Seat:opc:blanco:90.0:true:5269
1 - :182271858573001:3775DPV:Seat:opc:Verde:4000.0:true:4901
