100	101	102	103	
200	201	202	203	
300	301	302	303	
400	401	402	403	
500	501	502	503	
600	601	602	603	
700	701	702	703	
800	801	802	803	
900	901	902	903	
1000	1001	1002	1003	
1100	1101	1102	1103	
1200	1201	1202	1203	
1300	1301	1302	1303	
1400	1401	1402	1403	
1500	1501	1502	1503	
1600	1601	1602	1603	
1700	1701	1702	1703	
1800	1801	1802	1803	
1900	1901	1902	1903	
2000	2001	2002	2003	
2100	2101	2102	2103	
2200	2201	2202	2203	
2300	2301	2302	2303	
2400	2401	2402	2403	
2500	2501	2502	2503	
2600	2601	2602	2603	
2700	2701	2702	2703	
2800	2801	2802	2803	
2900	2901	2902	2903	
3000	3001	3002	3003	
3100	3101	3102	3103	
3200	3201	3202	3203	
3300	3301	3302	3303	
3400	3401	3402	3403	
3500	3501	3502	3503	
3600	3601	3602	3603	
3700	3701	3702	3703	
3800	3801	3802	3803	
3900	3901	3902	3903	
4000	4001	4002	4003	
4100	4101	4102	4103	
4200	4201	4202	4203	
4300	4301	4302	4303	
4400	4401	4402	4403	
4500	4501	4502	4503	
4600	4601	4602	4603	
4700	4701	4702	4703	
4800	4801	4802	4803	
4900	4901	4902	4903	
5000	5001	5002	5003	
5100	5101	5102	5103	
5200	5201	5202	5203	
5300	5301	5302	5303	
5400	5401	5402	5403	
5500	5501	5502	5503	
5600	5601	5602	5603	
5700	5701	5702	5703	
5800	5801	5802	5803	
5900	5901	5902	5903	
6000	6001	6002	6003	
6100	6101	6102	6103	
6200	6201	6202	6203	
6300	6301	6302	6303	
6400	6401	6402	6403	
6500	6501	6502	6503	
6600	6601	6602	6603	
6700	6701	6702	6703	
6800	6801	6802	6803	
6900	6901	6902	6903	
7000	7001	7002	7003	
7100	7101	7102	7103	
7200	7201	7202	7203	
7300	7301	7302	7303	
7400	7401	7402	7403	
7500	7501	7502	7503	
7600	7601	7602	7603	
7700	7701	7702	7703	
7800	7801	7802	7803	
7900	7901	7902	7903	
8000	8001	8002	8003	
8100	8101	8102	8103	
8200	8201	8202	8203	
8300	8301	8302	8303	
8400	8401	8402	8403	
8500	8501	8502	8503	
8600	8601	8602	8603	
8700	8701	8702	8703	
8800	8801	8802	8803	
8900	8901	8902	8903	
9000	9001	9002	9003	
9100	9101	9102	9103	
9200	9201	9202	9203	
9300	9301	9302	9303	
9400	9401	9402	9403	
9500	9501	9502	9503	
9600	9601	9602	9603	
9700	9701	9702	9703	
9800	9801	9802	9803	
9900	9901	9902	9903	
10000	10001	10002	10003	
10100	10101	10102	10103	
10200	10201	10202	10203	
10300	10301	10302	10303	
10400	10401	10402	10403	
10500	10501	10502	10503	
10600	10601	10602	10603	
10700	10701	10702	10703	
10800	10801	10802	10803	
10900	10901	10902	10903	
11000	11001	11002	11003	
11100	11101	11102	11103	
11200	11201	11202	11203	
11300	11301	11302	11303	
11400	11401	11402	11403	
11500	11501	11502	11503	
11600	11601	11602	11603	
11700	11701	11702	11703	
11800	11801	11802	11803	
11900	11901	11902	11903	
12000	12001	12002	12003	
12100	12101	12102	12103	
12200	12201	12202	12203	
12300	12301	12302	12303	
12400	12401	12402	12403	
12500	12501	12502	12503	
12600	12601	12602	12603	
12700	12701	12702	12703	
12800	12801	12802	12803	
12900	12901	12902	12903	
13000	13001	13002	13003	
13100	13101	13102	13103	
13200	13201	13202	13203	
13300	13301	13302	13303	
13400	13401	13402	13403	
13500	13501	13502	13503	
13600	13601	13602	13603	
13700	13701	13702	13703	
13800	13801	13802	13803	
13900	13901	13902	13903	
14000	14001	14002	14003	
14100	14101	14102	14103	
14200	14201	14202	14203	
14300	14301	14302	14303	
14400	14401	14402	14403	
14500	14501	14502	14503	
14600	14601	14602	14603	
14700	14701	14702	14703	
14800	14801	14802	14803	
14900	14901	14902	14903	
15000	15001	15002	15003	
15100	15101	15102	15103	
15200	15201	15202	15203	
15300	15301	15302	15303	
15400	15401	15402	15403	
15500	15501	15502	15503	
15600	15601	15602	15603	
15700	15701	15702	15703	
15800	15801	15802	15803	
15900	15901	15902	15903	
16000	16001	16002	16003	
16100	16101	16102	16103	
16200	16201	16202	16203	
16300	16301	16302	16303	
16400	16401	16402	16403	
16500	16501	16502	16503	
16600	16601	16602	16603	
16700	16701	16702	16703	
