TipoVehiculo:Matricula:Marca:Modelo:Color:Precio:Bastidor:Disponible
1 - :581762279765136:7544TPQ:Bmw:opc:Verde:4000.0:true:1748
1 - :885778187131849:1799WHR:Citroen:amg gtr:morado:60.0:true:4700
1 - :622731996133396:3721NRN:Citroen:m3:blanco:805.0:true:4079
1 - :187998251514332:4651QXW:Ford:sqv:negro:805.0:true:3204
1 - :161257895113625:0434KLB:Ford:Leon:rojo:4000.0:true:1846
1 - :116224992126786:8755BWL:Mercedes:mondeo:Amarillo:90.0:true:2194
1 - :346911578948441:8014NSC:Opel:amg gtr:negro:4000.0:true:3037
1 - :818541718134687:7766BGG:Opel:Leon:negro:805.0:true:3441
1 - :836318552666121:2172HCV:Opel:sqv:negro:50.0:true:1065
1 - :548919619744876:7616DXP:Seat:m3:Verde:805.0:true:1381
